scenario,spearman_with_base,top5_overlap,top5_jaccard,top10_overlap,top10_jaccard,top20_overlap,top20_jaccard,rank_C9_C15,rank_C9_C13,rank_C9_C24,low_area_drop_weight,avg_gain_weight,intervention_volume_economy_weight,new_low_area_avoidance_weight
BASE,1.0,5,1.0,10,1.0,20,1.0,2,6,1,0.45,0.35,0.15,0.05
AREA_HEAVY,0.9942594487574448,3,0.4285714285714285,9,0.8181818181818182,17,0.7391304347826086,2,3,1,0.55,0.25,0.15,0.05
GAIN_HEAVY,0.9911661824964706,3,0.4285714285714285,6,0.4285714285714285,17,0.7391304347826086,10,15,1,0.3,0.5,0.15,0.05
VOLUME_SENSITIVE,0.9759413903909104,4,0.6666666666666666,9,0.8181818181818182,18,0.8181818181818182,2,4,1,0.4,0.3,0.25,0.05
NEW_LOW_SENSITIVE,0.9992136658492584,4,0.6666666666666666,10,1.0,20,1.0,2,5,1,0.4,0.3,0.15,0.15
BALANCED,0.9997024551886118,4,0.6666666666666666,9,0.8181818181818182,20,1.0,2,7,1,0.4,0.35,0.15,0.1
